silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
64,1996,1,1996;1995,1996;1996,0,1989,2000,0.111419068736142,0.0113287315483463,NA,NA,none,yyyy,1 year
64,1996,1,1997;1995,1996;1997,0,1989,2000,0.00914634146341468,0.0129828714102922,NA,NA,none,yyyy,1 year
64,1996,1,1998;1995,1996;1998,0,1989,2000,0.00451671183378504,0.0142955474425917,NA,NA,none,yyyy,1 year
64,1996,1,1999;1995,1996;1999,0,1989,2000,0.0815147625160463,0.0121647031049635,NA,NA,none,yyyy,1 year
64,1996,1,2000;1995,1996;2000,0,1989,2000,0.134146341463414,0.0126030971047367,NA,NA,none,yyyy,1 year
64,1991,-1,1991;1990,1991;1991,1,1989,2000,0.0408986175115206,0.00831642464642892,NA,NA,none,yyyy,1 year
64,1991,-1,1992;1990,1991;1992,1,1989,2000,0.000244618395303375,0.00763798012010158,NA,NA,none,yyyy,1 year
64,1991,-1,1993;1990,1991;1993,1,1989,2000,-0.0453296703296704,0.00878113539981633,NA,NA,none,yyyy,1 year
64,1991,-1,1994;1990,1991;1994,1,1989,2000,0.0152116402116403,0.00884994876750207,NA,NA,none,yyyy,1 year
64,1991,-1,1995;1990,1991;1995,1,1989,2000,-0.0448606271777003,0.00998058232501525,NA,NA,none,yyyy,1 year
64,1991,-1,1996;1990,1991;1996,1,1989,2000,0.0665584415584416,0.00999200855277713,NA,NA,none,yyyy,1 year
64,1991,-1,1997;1990,1991;1997,1,1989,2000,-0.0357142857142858,0.011646148414723,NA,NA,none,yyyy,1 year
64,1991,-1,1998;1990,1991;1998,1,1989,2000,-0.0403439153439153,0.0129588244470225,NA,NA,none,yyyy,1 year
64,1991,-1,1999;1990,1991;1999,1,1989,2000,0.0366541353383459,0.0108279801093943,NA,NA,none,yyyy,1 year
64,1991,-1,2000;1990,1991;2000,1,1989,2000,0.0892857142857145,0.0112663741091675,NA,NA,none,yyyy,1 year
64,1993,-1,1993;1992,1993;1993,1,1989,2000,-0.0455742887249737,0.00777525619047186,NA,NA,none,yyyy,1 year
64,1993,-1,1994;1992,1993;1994,1,1989,2000,0.0149670218163369,0.0078440695581576,NA,NA,none,yyyy,1 year
64,1993,-1,1995;1992,1993;1995,1,1989,2000,-0.0451052455730037,0.00897470311567077,NA,NA,none,yyyy,1 year
64,1993,-1,1996;1992,1993;1996,1,1989,2000,0.0663138231631381,0.00898612934343265,NA,NA,none,yyyy,1 year
64,1993,-1,1997;1992,1993;1997,1,1989,2000,-0.035958904109589,0.0106402692053786,NA,NA,none,yyyy,1 year
64,1993,-1,1998;1992,1993;1998,1,1989,2000,-0.0405885337392187,0.011952945237678,NA,NA,none,yyyy,1 year
64,1993,-1,1999;1992,1993;1999,1,1989,2000,0.0364095169430425,0.0098221009000498,NA,NA,none,yyyy,1 year
64,1993,-1,2000;1992,1993;2000,1,1989,2000,0.089041095890411,0.010260494899823,NA,NA,none,yyyy,1 year
64,1997,-1,1997;1996,1997;1997,1,1989,2000,-0.102272727272727,0.0129942976380541,NA,NA,none,yyyy,1 year
64,1997,-1,1998;1996,1997;1998,1,1989,2000,-0.106902356902357,0.0143069736703535,NA,NA,none,yyyy,1 year
64,1997,-1,1999;1996,1997;1999,1,1989,2000,-0.0299043062200957,0.0121761293327253,NA,NA,none,yyyy,1 year
64,1997,-1,2000;1996,1997;2000,1,1989,2000,0.0227272727272727,0.0126145233324985,NA,NA,none,yyyy,1 year
64,1998,-1,1998;1997,1998;1998,1,1989,2000,-0.00462962962962965,0.0159611135322995,NA,NA,none,yyyy,1 year
64,1998,-1,1999;1997,1998;1999,1,1989,2000,0.0723684210526316,0.0138302691946712,NA,NA,none,yyyy,1 year
64,1998,-1,2000;1997,1998;2000,1,1989,2000,0.125,0.0142686631944444,NA,NA,none,yyyy,1 year
