silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
46,1991,0,1991;1990,1991;1991,0,1989,2000,0.0944741532976827,0.00936273347299585,NA,NA,none,yyyy,1 year
46,1991,0,1992;1990,1991;1992,0,1989,2000,0.170454545454545,0.00816999818040947,NA,NA,none,yyyy,1 year
46,1991,0,1993;1990,1991;1993,0,1989,2000,0.0262237762237763,0.0093084691422324,NA,NA,none,yyyy,1 year
46,1991,0,1994;1990,1991;1994,0,1989,2000,0.080338266384778,0.0102935428987597,NA,NA,none,yyyy,1 year
46,1991,0,1995;1990,1991;1995,0,1989,2000,0.150717703349282,0.0107952484788312,NA,NA,none,yyyy,1 year
46,1991,0,1996;1990,1991;1996,0,1989,2000,0.0824915824915824,0.00911211580332645,NA,NA,none,yyyy,1 year
46,1991,0,1997;1990,1991;1997,0,1989,2000,-0.127622377622378,0.00873951147268301,NA,NA,none,yyyy,1 year
46,1991,0,1998;1990,1991;1998,0,1989,2000,0.0269360269360269,0.00913116777711094,NA,NA,none,yyyy,1 year
46,1991,0,1999;1990,1991;1999,0,1989,2000,-0.0477657935285053,0.00859788826981429,NA,NA,none,yyyy,1 year
46,1991,0,2000;1990,1991;2000,0,1989,2000,0.101010101010101,0.00999485725534089,NA,NA,none,yyyy,1 year
46,1993,0,1993;1992,1993;1993,0,1989,2000,-0.144230769230769,0.00846268971182293,NA,NA,none,yyyy,1 year
46,1993,0,1994;1992,1993;1994,0,1989,2000,-0.0901162790697676,0.00944776346835028,NA,NA,none,yyyy,1 year
46,1993,0,1995;1992,1993;1995,0,1989,2000,-0.0197368421052632,0.00994946904842178,NA,NA,none,yyyy,1 year
46,1993,0,1996;1992,1993;1996,0,1989,2000,-0.087962962962963,0.00826633637291698,NA,NA,none,yyyy,1 year
46,1993,0,1997;1992,1993;1997,0,1989,2000,-0.298076923076923,0.00789373204227355,NA,NA,none,yyyy,1 year
46,1993,0,1998;1992,1993;1998,0,1989,2000,-0.143518518518519,0.00828538834670146,NA,NA,none,yyyy,1 year
46,1993,0,1999;1992,1993;1999,0,1989,2000,-0.218220338983051,0.00775210883940483,NA,NA,none,yyyy,1 year
46,1993,0,2000;1992,1993;2000,0,1989,2000,-0.0694444444444445,0.00914907782493142,NA,NA,none,yyyy,1 year
46,1996,0,1996;1995,1996;1996,0,1989,2000,-0.0682261208576997,0.0108915866713388,NA,NA,none,yyyy,1 year
46,1996,0,1997;1995,1996;1997,0,1989,2000,-0.27834008097166,0.0105189823406953,NA,NA,none,yyyy,1 year
46,1996,0,1998;1995,1996;1998,0,1989,2000,-0.123781676413255,0.0109106386451232,NA,NA,none,yyyy,1 year
46,1996,0,1999;1995,1996;1999,0,1989,2000,-0.198483496877787,0.0103773591378266,NA,NA,none,yyyy,1 year
46,1996,0,2000;1995,1996;2000,0,1989,2000,-0.0497076023391815,0.0117743281233532,NA,NA,none,yyyy,1 year
46,1997,0,1997;1996,1997;1997,0,1989,2000,-0.21011396011396,0.00883584966519054,NA,NA,none,yyyy,1 year
46,1997,0,1998;1996,1997;1998,0,1989,2000,-0.0555555555555556,0.00922750596961844,NA,NA,none,yyyy,1 year
46,1997,0,1999;1996,1997;1999,0,1989,2000,-0.130257376020088,0.00869422646232182,NA,NA,none,yyyy,1 year
46,1997,0,2000;1996,1997;2000,0,1989,2000,0.0185185185185185,0.0100911954478484,NA,NA,none,yyyy,1 year
46,1998,0,1998;1997,1998;1998,0,1989,2000,0.154558404558405,0.00885490163897502,NA,NA,none,yyyy,1 year
46,1998,0,1999;1997,1998;1999,0,1989,2000,0.0798565840938721,0.00832162213167838,NA,NA,none,yyyy,1 year
46,1998,0,2000;1997,1998;2000,0,1989,2000,0.228632478632479,0.00971859111720498,NA,NA,none,yyyy,1 year
