silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
32,1991,0,1991;1990,1991;1991,0,1989,2000,0.153846153846154,0.0106025261720528,NA,NA,none,yyyy,1 year
32,1991,0,1992;1990,1991;1992,0,1989,2000,-0.0916083916083917,0.00780256373779284,NA,NA,none,yyyy,1 year
32,1991,0,1993;1990,1991;1993,0,1989,2000,0.0913461538461539,0.0081977410158028,NA,NA,none,yyyy,1 year
32,1991,0,1994;1990,1991;1994,0,1989,2000,0.064102564102564,0.0105562720207691,NA,NA,none,yyyy,1 year
32,1991,0,1995;1990,1991;1995,0,1989,2000,0.0824175824175823,0.0113496107201578,NA,NA,none,yyyy,1 year
32,1991,0,1996;1990,1991;1996,0,1989,2000,0.0347985347985348,0.00996747056250739,NA,NA,none,yyyy,1 year
32,1991,0,1997;1990,1991;1997,0,1989,2000,0.153846153846154,0.0109314735404738,NA,NA,none,yyyy,1 year
32,1991,0,1998;1990,1991;1998,0,1989,2000,0.0576923076923077,0.00898241920801092,NA,NA,none,yyyy,1 year
32,1991,0,1999;1990,1991;1999,0,1989,2000,0.214821763602251,0.0103594036114399,NA,NA,none,yyyy,1 year
32,1991,0,2000;1990,1991;2000,0,1989,2000,0.0705128205128205,0.0111040693819293,NA,NA,none,yyyy,1 year
32,1993,0,1993;1992,1993;1993,0,1989,2000,0.182954545454545,0.00729525240949005,NA,NA,none,yyyy,1 year
32,1993,0,1994;1992,1993;1994,0,1989,2000,0.155710955710956,0.00965378341445631,NA,NA,none,yyyy,1 year
32,1993,0,1995;1992,1993;1995,0,1989,2000,0.174025974025974,0.010447122113845,NA,NA,none,yyyy,1 year
32,1993,0,1996;1992,1993;1996,0,1989,2000,0.126406926406926,0.00906498195619464,NA,NA,none,yyyy,1 year
32,1993,0,1997;1992,1993;1997,0,1989,2000,0.245454545454545,0.0100289849341611,NA,NA,none,yyyy,1 year
32,1993,0,1998;1992,1993;1998,0,1989,2000,0.149300699300699,0.00807993060169816,NA,NA,none,yyyy,1 year
32,1993,0,1999;1992,1993;1999,0,1989,2000,0.306430155210643,0.00945691500512716,NA,NA,none,yyyy,1 year
32,1993,0,2000;1992,1993;2000,0,1989,2000,0.162121212121212,0.0102015807756166,NA,NA,none,yyyy,1 year
32,1996,0,1996;1995,1996;1996,0,1989,2000,-0.0476190476190477,0.0126120289385596,NA,NA,none,yyyy,1 year
32,1996,0,1997;1995,1996;1997,0,1989,2000,0.0714285714285714,0.013576031916526,NA,NA,none,yyyy,1 year
32,1996,0,1998;1995,1996;1998,0,1989,2000,-0.0247252747252747,0.0116269775840631,NA,NA,none,yyyy,1 year
32,1996,0,1999;1995,1996;1999,0,1989,2000,0.132404181184669,0.0130039619874921,NA,NA,none,yyyy,1 year
32,1996,0,2000;1995,1996;2000,0,1989,2000,-0.0119047619047619,0.0137486277579815,NA,NA,none,yyyy,1 year
32,1997,0,1997;1996,1997;1997,0,1989,2000,0.119047619047619,0.0121938917588756,NA,NA,none,yyyy,1 year
32,1997,0,1998;1996,1997;1998,0,1989,2000,0.0228937728937728,0.0102448374264127,NA,NA,none,yyyy,1 year
32,1997,0,1999;1996,1997;1999,0,1989,2000,0.180023228803717,0.0116218218298417,NA,NA,none,yyyy,1 year
32,1997,0,2000;1996,1997;2000,0,1989,2000,0.0357142857142858,0.0123664876003311,NA,NA,none,yyyy,1 year
32,1998,0,1998;1997,1998;1998,0,1989,2000,-0.0961538461538462,0.0112088404043792,NA,NA,none,yyyy,1 year
32,1998,0,1999;1997,1998;1999,0,1989,2000,0.0609756097560975,0.0125858248078082,NA,NA,none,yyyy,1 year
32,1998,0,2000;1997,1998;2000,0,1989,2000,-0.0833333333333335,0.0133304905782976,NA,NA,none,yyyy,1 year
