silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
73,1991,0,1991;1990,1991;1991,0,1989,2000,0.167460317460318,0.00944767358736557,NA,NA,none,yyyy,1 year
73,1991,0,1992;1990,1991;1992,0,1989,2000,0.246753246753247,0.00947102605397638,NA,NA,none,yyyy,1 year
73,1991,0,1993;1990,1991;1993,0,1989,2000,0.0971760797342193,0.00955474052039938,NA,NA,none,yyyy,1 year
73,1991,0,1994;1990,1991;1994,0,1989,2000,0.155844155844156,0.00956494040408908,NA,NA,none,yyyy,1 year
73,1991,0,1995;1990,1991;1995,0,1989,2000,0.107142857142857,0.00972576530612245,NA,NA,none,yyyy,1 year
73,1991,0,1996;1990,1991;1996,0,1989,2000,0.168767507002801,0.00879493765567961,NA,NA,none,yyyy,1 year
73,1991,0,1997;1990,1991;1997,0,1989,2000,-0.0153061224489797,0.00822978998971517,NA,NA,none,yyyy,1 year
73,1991,0,1998;1990,1991;1998,0,1989,2000,0.0341269841269841,0.00898676823757134,NA,NA,none,yyyy,1 year
73,1991,0,1999;1990,1991;1999,0,1989,2000,0.0559299191374662,0.00832805133044553,NA,NA,none,yyyy,1 year
73,1991,0,2000;1990,1991;2000,0,1989,2000,0.213455149501661,0.00968051560938525,NA,NA,none,yyyy,1 year
73,1993,0,1993;1992,1993;1993,0,1989,2000,-0.149577167019028,0.0112360435423058,NA,NA,none,yyyy,1 year
73,1993,0,1994;1992,1993;1994,0,1989,2000,-0.0909090909090909,0.0112462434259955,NA,NA,none,yyyy,1 year
73,1993,0,1995;1992,1993;1995,0,1989,2000,-0.13961038961039,0.0114070683280289,NA,NA,none,yyyy,1 year
73,1993,0,1996;1992,1993;1996,0,1989,2000,-0.0779857397504456,0.010476240677586,NA,NA,none,yyyy,1 year
73,1993,0,1997;1992,1993;1997,0,1989,2000,-0.262059369202227,0.00991109301162158,NA,NA,none,yyyy,1 year
73,1993,0,1998;1992,1993;1998,0,1989,2000,-0.212626262626263,0.0106680712594777,NA,NA,none,yyyy,1 year
73,1993,0,1999;1992,1993;1999,0,1989,2000,-0.19082332761578,0.0100093543523519,NA,NA,none,yyyy,1 year
73,1993,0,2000;1992,1993;2000,0,1989,2000,-0.0332980972515856,0.0113618186312917,NA,NA,none,yyyy,1 year
73,1996,0,1996;1995,1996;1996,0,1989,2000,0.0616246498599437,0.0107309799297321,NA,NA,none,yyyy,1 year
73,1996,0,1997;1995,1996;1997,0,1989,2000,-0.122448979591837,0.0101658322637677,NA,NA,none,yyyy,1 year
73,1996,0,1998;1995,1996;1998,0,1989,2000,-0.0730158730158732,0.0109228105116238,NA,NA,none,yyyy,1 year
73,1996,0,1999;1995,1996;1999,0,1989,2000,-0.0512129380053908,0.010264093604498,NA,NA,none,yyyy,1 year
73,1996,0,2000;1995,1996;2000,0,1989,2000,0.106312292358804,0.0116165578834377,NA,NA,none,yyyy,1 year
73,1997,0,1997;1996,1997;1997,0,1989,2000,-0.184073629451781,0.00923500461332481,NA,NA,none,yyyy,1 year
73,1997,0,1998;1996,1997;1998,0,1989,2000,-0.134640522875817,0.00999198286118098,NA,NA,none,yyyy,1 year
73,1997,0,1999;1996,1997;1999,0,1989,2000,-0.112837587865335,0.00933326595405518,NA,NA,none,yyyy,1 year
73,1997,0,2000;1996,1997;2000,0,1989,2000,0.04468764249886,0.0106857302329949,NA,NA,none,yyyy,1 year
73,1998,0,1998;1997,1998;1998,0,1989,2000,0.0494331065759638,0.00942683519521654,NA,NA,none,yyyy,1 year
73,1998,0,1999;1997,1998;1999,0,1989,2000,0.0712360415864458,0.00876811828809073,NA,NA,none,yyyy,1 year
73,1998,0,2000;1997,1998;2000,0,1989,2000,0.22876127195064,0.0101205825670305,NA,NA,none,yyyy,1 year
